config,holdout_workload,case_id,workload,stressor,label,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3
tier0,ALL,BROWSER__ATOMIC,BROWSER,ATOMIC,1,tier0,0.004832292861445653,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0011329383184033454,0.23445150177930435,0.002600167305510945,0.5380814822413444,0.0,0.0,0.0007013763731813547,0.14514359814101319,0.0003978108643500085,0.082323417838338,tier0:mem_free_bytes,0.0003398626232876203,tier0:ctx_switches,0.00028451264183635447,tier0:uptime_s,0.000248526419102068,tier0:cpu_times_idle_pct,0.00024717541532049705,tier0:net_sent_Pps,0.00023700294213530837,memory_io,0.002600167305510945,compute,0.0011329383184033454,scheduler_runtime,0.0007013763731813547
tier0,ALL,BROWSER__BRANCH,BROWSER,BRANCH,1,tier0,0.012285397465975876,0.0,0.0,1.0,0.0,0.0,memory_io,0.001726266971197537,0.14051372582599736,0.00703541330752864,0.5726646880585715,0.0,0.0,0.001570574858674852,0.1278407852106147,0.001953142328574844,0.1589808009048162,tier0:uptime_s,0.0011843869161233282,tier0:net_sent_Pps,0.0007494340959640187,tier0:mem_percent,0.0006580596050427435,tier0:mem_available_bytes,0.0006543935518840727,tier0:mem_inactive_bytes,0.0006369756999111088,memory_io,0.00703541330752864,platform_pressure,0.001953142328574844,compute,0.001726266971197537
tier0,ALL,BROWSER__CACHE,BROWSER,CACHE,1,tier0,0.0074733834868003605,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0015369629273348467,0.20565824436140093,0.0036538215646804606,0.48891129046621445,0.0,0.0,0.0011936512051353436,0.15972032042027476,0.0010889477896497087,0.14571014475211,tier0:uptime_s,0.0008065315381771619,tier0:soft_interrupts,0.0003730633709207669,tier0:cpu_times_idle_pct,0.0003149392577743945,tier0:mem_available_bytes,0.00029054788037534456,tier0:mem_percent,0.0002895164938734229,memory_io,0.0036538215646804606,compute,0.0015369629273348467,scheduler_runtime,0.0011936512051353436
tier0,ALL,BROWSER__MEMBW,BROWSER,MEMBW,1,tier0,0.00907220372311765,0.0,0.0,1.0,0.0,0.0,memory_io,0.0015122969361279683,0.16669565436172432,0.005805157124096716,0.6398839026623822,0.0,0.0,0.0010193061683593167,0.11235485880480577,0.0007354434945336497,0.08106558417108778,tier0:net_sent_Pps,0.0010920278610690771,tier0:net_recv_Pps,0.0004650087125938015,tier0:mem_percent,0.0004334965073830122,tier0:mem_inactive_bytes,0.0004321704026565712,tier0:mem_available_bytes,0.00043197751912072243,memory_io,0.005805157124096716,compute,0.0015122969361279683,scheduler_runtime,0.0010193061683593167
tier0,ALL,BROWSER__NOMINAL,BROWSER,NOMINAL,0,tier0,0.0027104703073288815,0.0,0.0,1.0,0.0,0.0,memory_io,0.0009342259867440379,0.3446730201094512,0.0010459020548298757,0.3858747509617963,0.0,0.0,0.00036556470250815004,0.13487131791102605,0.00036477756324681767,0.13458091101772637,tier0:cpu_times_idle_pct,0.00029156761408585444,tier0:mem_free_bytes,0.00015433398314252677,tier0:ctx_switches,0.00013241110622675472,tier0:net_sent_Bps,0.00013111827863874993,tier0:net_sent_Pps,0.00012200243729010745,memory_io,0.0010459020548298757,compute,0.0009342259867440379,scheduler_runtime,0.00036556470250815004
tier0,ALL,BROWSER__TLB,BROWSER,TLB,1,tier0,0.008340856193609305,0.0,0.0,1.0,0.0,0.0,memory_io,0.0013407872151612078,0.16074935043101546,0.005008280138665573,0.6004515630545071,0.0,0.0,0.0013592550353957364,0.16296349005959201,0.0006325338043867885,0.07583559645488562,tier0:uptime_s,0.0005092246809903005,tier0:soft_interrupts,0.00041507489587210125,tier0:syscalls,0.00040721647230852244,tier0:mem_inactive_bytes,0.0004027063679906446,tier0:mem_percent,0.0003979872407047012,memory_io,0.005008280138665573,scheduler_runtime,0.0013592550353957364,compute,0.0013407872151612078
tier0,ALL,PY_AI__ATOMIC,PY_AI,ATOMIC,1,tier0,0.005982083991063814,0.0,0.0,1.0,0.0,0.0,memory_io,0.0012186225169240165,0.20371203726735115,0.003285189497545656,0.5491714095711718,0.0,0.0,0.001004346627578436,0.167892431647358,0.0004739253490157062,0.0792241215141191,tier0:mem_inactive_bytes,0.0004005254565408801,tier0:syscalls,0.00039674802729165363,tier0:mem_percent,0.0003361000333547666,tier0:mem_available_bytes,0.000335634502244201,tier0:cpu_times_idle_pct,0.0002906038732612274,memory_io,0.003285189497545656,compute,0.0012186225169240165,scheduler_runtime,0.001004346627578436
tier0,ALL,PY_AI__BRANCH,PY_AI,BRANCH,1,tier0,0.008690059605535162,0.0,0.0,1.0,0.0,0.0,memory_io,0.0017072083491475485,0.19645530947338227,0.004744726225533639,0.5459946698767716,0.0,0.0,0.0011442398409242326,0.1316722661137336,0.0010938851899297427,0.1258777545361126,tier0:uptime_s,0.0007467971760338781,tier0:soft_interrupts,0.0004459481615801538,tier0:swap_percent,0.0003704998991047845,tier0:swap_free_bytes,0.0003638013800780518,tier0:swap_used_bytes,0.00033949681405042576,memory_io,0.004744726225533639,compute,0.0017072083491475485,scheduler_runtime,0.0011442398409242326
tier0,ALL,PY_AI__CACHE,PY_AI,CACHE,1,tier0,0.005447402361271914,0.0,0.0,1.0,0.0,0.0,memory_io,0.0017501543919434767,0.32128237935683407,0.002230430437363065,0.4094484470653792,0.0,0.0,0.000629967790511981,0.11564554052234353,0.0008368497414533932,0.15362363305544355,tier0:uptime_s,0.0005508087823613184,tier0:cpu_times_idle_pct,0.00026331564978374566,tier0:net_sent_Bps,0.00021207872688140068,tier0:cpu_times_user_pct,0.00019561304566052988,tier0:cpu_pct,0.00018940477355768254,memory_io,0.002230430437363065,compute,0.0017501543919434767,platform_pressure,0.0008368497414533932
tier0,ALL,PY_AI__MEMBW,PY_AI,MEMBW,1,tier0,0.009124445032520363,0.0,0.0,1.0,0.0,0.0,memory_io,0.0016110024695419323,0.17655895386515794,0.0054547167262423615,0.597813533513682,0.0,0.0,0.0012735274556901596,0.13957314128707998,0.0007851983810459101,0.08605437133408012,tier0:uptime_s,0.0006388995538676242,tier0:swap_percent,0.00043622275720698613,tier0:swap_free_bytes,0.0004251088905305923,tier0:soft_interrupts,0.0003913641928631642,tier0:swap_used_bytes,0.00038373316831826935,memory_io,0.0054547167262423615,compute,0.0016110024695419323,scheduler_runtime,0.0012735274556901596
