config,holdout_workload,case_id,base_case_id,repeat_tag,repeat_index,workload,stressor,label_name,stressor_family,label,diagnosis_block_mode,diagnosis_selected_blocks,diagnosis_selected_block_idxs,diagnosis_peak_block_idx,diagnosis_peak_block_score,diagnosis_focus_score_mean,diagnosis_focus_score_max,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3,feature_profile
tier0,ALL,BROWSER__ATOMIC,BROWSER__ATOMIC,,0,BROWSER,ATOMIC,ANOMALY,synchronization,1,peak_window,5,"0,1,2,3,4",0,0.00453240453243392,0.004466463071770019,0.00453240453243392,tier0,0.0024529828157785804,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0008627530395288095,0.3517158921698237,0.0012934727932953232,0.5273060964696458,0.0,0.0,0.000171289832685578,0.06982920205709243,0.00012546715026886951,0.05114880930343822,tier0:cpu_times_idle_pct,0.00018380756965424578,tier0:net_sent_Pps,0.00017154013232610656,tier0:cpu_times_user_pct,0.0001246224282131931,tier0:net_recv_Pps,0.00011198449449484621,tier0:cpu_pct,9.626178015093621e-05,memory_io,0.0012934727932953232,compute,0.0008627530395288095,scheduler_runtime,0.000171289832685578,mixed
tier0,ALL,BROWSER__BRANCH,BROWSER__BRANCH,,0,BROWSER,BRANCH,ANOMALY,control_flow,1,post_persist,5,"2,3,4,5,6",22,0.02000921508145857,0.0186704264706596,0.018900248772846184,tier0,0.0061919394974108855,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.001375411039027405,0.22212927623122344,0.0037234943847273194,0.6013454082172917,0.0,0.0,0.0004895800513643742,0.07906731833686177,0.0006034540222917852,0.09745799721462318,tier0:net_sent_Pps,0.0005515878079427515,tier0:interrupts,0.0003869200753064917,tier0:mem_wired_bytes,0.00035414924551240945,tier0:mem_used_bytes,0.00033182457586859986,tier0:mem_active_bytes,0.0003263836778359735,memory_io,0.0037234943847273194,compute,0.001375411039027405,platform_pressure,0.0006034540222917852,mixed
tier0,ALL,BROWSER__CACHE,BROWSER__CACHE,,0,BROWSER,CACHE,ANOMALY,memory_pressure,1,peak_window,5,"540,541,542,543,544",540,0.007181940024363776,0.006713287344921467,0.007181940024363776,tier0,0.0037176263062976347,0.0,0.0,1.0000000000000004,0.0,0.0,memory_io,0.0011489240195334475,0.30904774306852145,0.0020158869899856912,0.5422511096854443,0.0,0.0,0.00034034320379735454,0.0915485247188012,0.00021247209298113972,0.05715262252723289,tier0:cpu_times_idle_pct,0.00023128731531264475,tier0:interrupts,0.0002125233930700696,tier0:mem_wired_bytes,0.00019784369801549944,tier0:mem_active_bytes,0.00019628992757724217,tier0:net_recv_Bps,0.00017367432783544785,memory_io,0.0020158869899856912,compute,0.0011489240195334475,scheduler_runtime,0.00034034320379735454,mixed
tier0,ALL,BROWSER__MEMBW,BROWSER__MEMBW,,0,BROWSER,MEMBW,ANOMALY,memory_pressure,1,peak_window,5,"9,10,11,12,13",9,0.009332976559178188,0.009309331708340628,0.009332976559178188,tier0,0.005056197101103744,0.0,0.0,1.0,0.0,0.0,memory_io,0.001189709000187816,0.23529719597523366,0.003278630981158472,0.6484381276281262,0.0,0.0,0.0002794557360826564,0.05526994507821945,0.0003084013836747998,0.06099473131842056,tier0:net_sent_Pps,0.0008008928624511761,tier0:net_recv_Pps,0.00035617700855601034,tier0:interrupts,0.0002451254403863618,tier0:net_recv_Bps,0.00024263084867524263,tier0:mem_wired_bytes,0.0002257551397870707,memory_io,0.003278630981158472,compute,0.001189709000187816,platform_pressure,0.0003084013836747998,mixed
tier0,ALL,BROWSER__NOMINAL,BROWSER__NOMINAL,,0,BROWSER,NOMINAL,NOMINAL,benign,0,peak_window_backfill,3,"936,938,939",939,0.003881856136910556,0.003872486422827817,0.003881856136910556,tier0,0.0016783276390307026,0.0,0.0,0.9999999999999999,0.0,0.0,compute,0.000717371883733351,0.4274325626596129,0.0006255109325128244,0.37269894028205386,0.0,0.0,0.00010783732996689043,0.06425284757222406,0.00022760749281763675,0.13561564948610905,tier0:cpu_times_idle_pct,0.00021734540697778055,tier0:net_sent_Bps,9.870815305390128e-05,tier0:net_sent_Pps,9.253503533229484e-05,tier0:pids_count,8.268865545903559e-05,tier0:load15,7.836969709074864e-05,compute,0.000717371883733351,memory_io,0.0006255109325128244,platform_pressure,0.00022760749281763675,mixed
tier0,ALL,BROWSER__TLB,BROWSER__TLB,,0,BROWSER,TLB,ANOMALY,memory_pressure,1,peak_window,5,"162,163,164,165,166",162,0.008518724408445396,0.008490346039360447,0.008518724408445396,tier0,0.004372922124536487,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.001027462433486514,0.23496014889481287,0.002852303642877137,0.6522649069995664,0.0,0.0,0.00036420568117845385,0.08328656921075592,0.00012895036699438054,0.029488374894864798,tier0:net_sent_Pps,0.0002892532631037791,tier0:interrupts,0.00028321848687078204,tier0:net_recv_Pps,0.0002697690695425832,tier0:mem_active_bytes,0.0002633233348479106,tier0:mem_wired_bytes,0.000261020275445868,memory_io,0.002852303642877137,compute,0.001027462433486514,scheduler_runtime,0.00036420568117845385,mixed
tier0,ALL,PY_AI__ATOMIC,PY_AI__ATOMIC,,0,PY_AI,ATOMIC,ANOMALY,synchronization,1,peak_window,5,"339,340,341,342,343",339,0.009911611659420796,0.00984692477258094,0.009911611659420796,tier0,0.0031691803333554172,0.0,0.0,1.0,0.0,0.0,memory_io,0.0009767901293216575,0.30821538270984605,0.0017506517039439483,0.5523988917634168,0.0,0.0,0.00027326742811827444,0.08622653158678051,0.00016847107197153743,0.05315919393995676,tier0:mem_used_bytes,0.0002307386734418026,tier0:cpu_times_idle_pct,0.00021989653645129018,tier0:interrupts,0.00019139717458650432,tier0:mem_wired_bytes,0.00018398150056398674,tier0:mem_active_bytes,0.00017413253828357377,memory_io,0.0017506517039439483,compute,0.0009767901293216575,scheduler_runtime,0.00027326742811827444,mixed
tier0,ALL,PY_AI__BRANCH,PY_AI__BRANCH,,0,PY_AI,BRANCH,ANOMALY,control_flow,1,peak_window,5,"547,548,549,550,551",547,0.007317098033171666,0.007296621701675794,0.007317098033171666,tier0,0.00429196388477026,0.0,0.0,1.0,0.0,0.0,memory_io,0.0012983233934933465,0.3025010061478752,0.0025200078882830343,0.5871456414684918,0.0,0.0,0.0002075025111028215,0.04834675143449598,0.0002661300918910573,0.062006600949137,tier0:swap_sin_bytes,0.00025634152245456474,tier0:net_recv_Pps,0.0002195821798503638,tier0:net_recv_Bps,0.00021596365792034711,tier0:net_sent_Pps,0.00018946944120546428,tier0:cpu_times_idle_pct,0.00018822069398042682,memory_io,0.0025200078882830343,compute,0.0012983233934933465,platform_pressure,0.0002661300918910573,mixed
tier0,ALL,PY_AI__CACHE,PY_AI__CACHE,,0,PY_AI,CACHE,ANOMALY,memory_pressure,1,peak_window,5,"730,731,732,733,734",730,0.004722201054364567,0.0046255653465276944,0.004722201054364567,tier0,0.0030404581673574554,0.0,0.0,0.9999999999999999,0.0,0.0,compute,0.001344861462700852,0.44232197539810497,0.0012823191778858168,0.421751955561459,0.0,0.0,0.0002248678981535391,0.07395855682795921,0.0001884096286172475,0.06196751221247665,tier0:cpu_times_idle_pct,0.00019570250770987893,tier0:net_sent_Bps,0.00016211135739386604,tier0:cpu_times_user_pct,0.00014891046669745326,tier0:cpu_pct,0.00014642181066787838,tier0:net_sent_Pps,0.0001395658382109629,compute,0.001344861462700852,memory_io,0.0012823191778858168,scheduler_runtime,0.0002248678981535391,mixed
tier0,ALL,PY_AI__MEMBW,PY_AI__MEMBW,,0,PY_AI,MEMBW,ANOMALY,memory_pressure,1,peak_window,5,"764,765,766,767,768",764,0.007592443125668392,0.007555345709189976,0.007592443125668392,tier0,0.004547789632133441,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0012521236537716015,0.27532576373463663,0.0028835358260529804,0.6340521570476135,0.0,0.0,0.00029941265280918907,0.06583696191521723,0.0001127174994996679,0.02478511730253238,tier0:swap_sin_bytes,0.00027147684074652035,tier0:net_recv_Pps,0.0002405460492148982,tier0:net_recv_Bps,0.00022926264599308274,tier0:net_sent_Pps,0.0002290588509541654,tier0:net_sent_Bps,0.00021261298083938933,memory_io,0.0028835358260529804,compute,0.0012521236537716015,scheduler_runtime,0.00029941265280918907,mixed
tier0,ALL,PY_AI__NOMINAL,PY_AI__NOMINAL,,0,PY_AI,NOMINAL,NOMINAL,benign,0,peak_window,5,"219,220,221,222,223",219,0.00413119874008341,0.004098556606534751,0.00413119874008341,tier0,0.00203798659279104,0.0,0.0,1.0,0.0,0.0,compute,0.000939814941113706,0.46114873593286076,0.0008331269418840524,0.40879902980278093,0.0,0.0,0.0001442613272652196,0.07078620034867476,0.00012078338252806185,0.05926603391568341,tier0:cpu_times_idle_pct,0.00022048049135205133,tier0:cpu_pct,0.00011442966328519661,tier0:cpu_times_user_pct,0.00010979672030096589,tier0:net_sent_Bps,9.940110982712188e-05,tier0:net_sent_Pps,9.118317973823074e-05,compute,0.000939814941113706,memory_io,0.0008331269418840524,scheduler_runtime,0.0001442613272652196,mixed
tier0,ALL,PY_AI__TLB,PY_AI__TLB,,0,PY_AI,TLB,ANOMALY,memory_pressure,1,peak_window,5,"728,729,730,731,732",728,0.005850267330879377,0.005822850249110052,0.005850267330879377,tier0,0.003328842401538852,0.0,0.0,1.0,0.0,0.0,memory_io,0.0011884496741652682,0.35701590246984166,0.0018153052852014245,0.5453262925160555,0.0,0.0,0.00019383082843514512,0.05822769751597171,0.00013125661373701347,0.039430107498130994,tier0:cpu_times_idle_pct,0.00019964537064271208,tier0:swap_sin_bytes,0.00016137808800058384,tier0:net_recv_Pps,0.00014744804411960706,tier0:net_sent_Pps,0.00014576534405439133,tier0:net_recv_Bps,0.00014417485069866248,memory_io,0.0018153052852014245,compute,0.0011884496741652682,scheduler_runtime,0.00019383082843514512,mixed
tier0,ALL,PY_STATS__ATOMIC,PY_STATS__ATOMIC,,0,PY_STATS,ATOMIC,ANOMALY,synchronization,1,post_persist,5,"2,3,4,5,6",938,0.018415037637982627,0.016403538887450258,0.016432105099881397,tier0,0.00839292556822517,0.0,0.0,1.0,0.0,0.0,memory_io,0.0019639294378378364,0.23399819548895906,0.0052828676389741905,0.6294429273833467,0.0,0.0,0.000903820504544398,0.10768837364246117,0.00024230798686874412,0.028870503485232783,tier0:interrupts,0.0007532339311815557,tier0:mem_wired_bytes,0.0006739790607834375,tier0:mem_active_bytes,0.0006477483577448177,tier0:mem_used_bytes,0.0005749687392153604,tier0:net_sent_Bps,0.0004962228024150539,memory_io,0.0052828676389741905,compute,0.0019639294378378364,scheduler_runtime,0.000903820504544398,mixed
tier0,ALL,PY_STATS__BRANCH,PY_STATS__BRANCH,,0,PY_STATS,BRANCH,ANOMALY,control_flow,1,post_persist,5,"589,590,591,592,593",939,0.013812330638641002,0.012280159925708132,0.01229625361930865,tier0,0.00627789718886134,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0015844067837610385,0.252378580931876,0.0038472582236018156,0.6128259364342371,0.0,0.0,0.0005850615914394859,0.093193879071091,0.0002611705900589997,0.0416016035627958,tier0:interrupts,0.0005255518145364739,tier0:mem_wired_bytes,0.00046994434935329247,tier0:mem_active_bytes,0.0004642119713737043,tier0:net_sent_Bps,0.00038078724713709307,tier0:mem_used_bytes,0.0003748099757539511,memory_io,0.0038472582236018156,compute,0.0015844067837610385,scheduler_runtime,0.0005850615914394859,mixed
