idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,7.1,0.0,0.0,7.4,3.7,3.8,28.6,70.4,7.4,0.0,3.6,0.0,3504.0,3504.0,702.0,11.0,89.0,0.0,1.8,9.2,16729.0,1028151.5474806968,99.45820357225932,1396734.1777096258,80.51378384420993,224123.0,1.97216796875,2.01318359375,1.919921875,2763177984.0,2822946816.0,76578816.0,2743795712.0,83.6,17179869184.0,6427525120.0,3664347136.0,4849.771450380645,4.736104932012348,0.0,0.0,517.0,1210609804.0,1451294720.0,91.6,3934814011392.0,41232646144.0,17179869184.0,15728574464.0,161409.0,0.0150659084320068,1771738189.340532,284773.3405330181
1,9.5,0.0,0.0,4.8,9.1,9.5,23.8,85.7,4.8,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,16729.0,1028151.5474806968,99.45820357225932,1396734.1777096258,80.51378384420993,224123.0,1.97216796875,2.01318359375,1.919921875,2763177984.0,2822946816.0,76578816.0,2743795712.0,83.6,17179869184.0,6427525120.0,3664347136.0,4849.771450380645,4.736104932012348,0.0,0.0,517.0,1210609804.0,1451294720.0,91.6,3934814011392.0,41232646144.0,17179869184.0,15728574464.0,161409.0,0.2262108325958252,1771738189.551677,284773.5516769886
2,10.0,0.0,0.0,5.0,0.0,9.1,5.0,95.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,16729.0,0.0,0.0,0.0,0.0,224123.0,1.97216796875,2.01318359375,1.919921875,2763177984.0,2822946816.0,76578816.0,2743795712.0,83.6,17179869184.0,6427525120.0,3664347136.0,0.0,19.569465634608477,10019.56640491954,29.354198451912712,517.0,1210609804.0,1451294720.0,91.6,3934814011392.0,41232646144.0,17179869184.0,15728574464.0,161409.0,0.4306108951568603,1771738189.756077,284773.75607705116
3,9.5,0.0,0.0,9.5,9.1,5.0,9.1,90.5,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,11.2,88.8,0.0,1.2,10.0,15840.0,1643971.4553136493,203.04105175346655,0.0,0.0,219598.0,1.97216796875,2.01318359375,1.919921875,2710142976.0,2949414912.0,256688128.0,2689859584.0,82.8,17179869184.0,6308036608.0,3597893632.0,0.0,14.165654773497668,0.0,0.0,517.0,1210610444.0,1451294720.0,91.6,3934814011392.0,41232646144.0,17179869184.0,15728574464.0,164176.0,0.6423907279968262,1771738189.967857,284773.967856884
4,14.3,4.5,0.0,9.1,0.0,4.8,14.3,81.8,8.7,0.0,4.8,0.0,3504.0,3504.0,702.0,12.0,88.0,0.0,0.8,11.2,15704.0,0.0,0.0,0.0,0.0,219598.0,1.97216796875,2.01318359375,1.919921875,2709356544.0,2948333568.0,254459904.0,2691006464.0,82.8,17179869184.0,6307250176.0,3597893632.0,9668.03670055195,28.324326271148287,0.0,9.441442090382765,517.0,1210610489.0,1451294720.0,91.6,3934814011392.0,41232646144.0,17179869184.0,15728574464.0,164246.0,0.8542218208312988,1771738190.179688,284774.1796889305
5,5.0,0.0,0.0,5.0,9.1,0.0,10.0,90.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,15704.0,0.0,0.0,0.0,0.0,219598.0,1.97216796875,2.01318359375,1.919921875,2694021120.0,2932015104.0,255328256.0,2673819648.0,82.9,17179869184.0,6323830784.0,3629809664.0,0.0,0.0,0.0,0.0,517.0,1210610489.0,1451294720.0,91.6,3934814011392.0,41232646144.0,17179869184.0,15728574464.0,164246.0,1.062859058380127,1771738190.3883252,284774.3883252144
6,13.6,0.0,0.0,9.5,0.0,13.6,9.1,14.3,0.0,0.0,0.0,78.3,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,15704.0,0.0,0.0,0.0,0.0,219598.0,1.97216796875,2.01318359375,1.919921875,2694381568.0,2931638272.0,254951424.0,2673819648.0,82.9,17179869184.0,6324191232.0,3629809664.0,0.0,9.534394300691272,0.0,0.0,517.0,1210610489.0,1451294720.0,91.6,3934814011392.0,41232646144.0,17179869184.0,15728574464.0,164246.0,1.2726237773895264,1771738190.59809,284774.59809207916
7,36.8,15.0,0.0,40.0,35.0,35.0,0.0,0.0,0.0,0.0,33.3,84.2,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,15704.0,20740429.881339382,821.9146805331504,0.0,0.0,219598.0,1.97216796875,2.01318359375,1.919921875,2694381568.0,2931638272.0,254951424.0,2673819648.0,82.9,17179869184.0,6324191232.0,3629809664.0,5009.765671821107,24.461746444439,10019.531343642217,24.461746444439,519.0,1210610489.0,1451294720.0,91.6,3934814011392.0,41232646144.0,17179869184.0,15728574464.0,164246.0,1.4770257472991943,1771738190.802492,284774.802492857
8,14.3,52.4,0.0,14.3,18.2,10.0,0.0,0.0,0.0,0.0,71.4,57.1,3504.0,3504.0,702.0,16.1,83.9,0.0,3.1,13.0,10904.0,34402409.83779881,1756.93907863041,0.0,0.0,219463.0,1.97216796875,2.01318359375,1.919921875,2756853760.0,2902687744.0,165314560.0,2723987456.0,83.1,17179869184.0,6352535552.0,3595681792.0,9751.249954024606,38.09082013290862,0.0,23.806762583067886,519.0,1210616006.0,1451294720.0,91.6,3934820073472.0,41232646144.0,17179869184.0,15728574464.0,166253.0,1.6870498657226562,1771738191.012516,284775.0125172138
9,19.0,38.1,9.5,14.3,5.3,5.0,0.0,0.0,0.0,0.0,85.0,50.0,3504.0,3504.0,702.0,18.8,81.2,0.0,5.3,13.5,8913.0,24156735.27230634,1854.9425141427532,0.0,0.0,219525.0,1.97216796875,2.01318359375,1.919921875,2777137152.0,2882240512.0,127172608.0,2736177152.0,83.2,17179869184.0,6373834752.0,3596697600.0,30070.62482029835,63.625996527323984,20047.08321353223,78.30891880286029,521.0,1210617837.0,1451294720.0,91.6,3934820564992.0,41232646144.0,17179869184.0,15728574464.0,167003.0,1.8913688659667969,1771738191.216835,284775.21683621407
10,34.4,43.8,3.0,28.1,30.3,39.4,0.0,0.0,0.0,0.0,71.9,48.5,3504.0,3504.0,702.0,24.8,75.2,0.0,4.6,20.2,12931.0,21761728.181302592,784.6215541900049,174392.78450958,24.329350517519533,216181.0,2.05419921875,2.0185546875,1.9375,2764423168.0,2948792320.0,193232896.0,2736865280.0,82.8,17179869184.0,6306332672.0,3541909504.0,168164.470777095,130.77025903166748,3114.1568662425,36.494025776279294,519.0,1210620921.0,1451294720.0,91.6,3934821285888.0,41232646144.0,17179869184.0,15728574464.0,167045.0,2.2201898097991943,1771738191.545656,284775.5456571579
11,20.0,0.0,0.0,10.0,9.5,9.5,0.0,0.0,0.0,0.0,18.2,85.0,3504.0,3504.0,702.0,12.6,87.4,0.0,2.0,10.5,12883.0,5174289.471462005,167.12313239993858,0.0,0.0,216181.0,2.05419921875,2.0185546875,1.9375,2765209600.0,2947465216.0,192380928.0,2736357376.0,82.8,17179869184.0,6307119104.0,3541909504.0,0.0,14.746158741171053,0.0,4.915386247057017,519.0,1210620923.0,1451294720.0,91.6,3934821351424.0,41232646144.0,17179869184.0,15728574464.0,167014.0,2.423632860183716,1771738191.749099,284775.74909996986
12,9.5,4.8,0.0,4.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,3504.0,3504.0,702.0,10.0,90.0,0.0,0.0,10.0,12807.0,0.0,0.0,0.0,0.0,216181.0,2.05419921875,2.0185546875,1.9375,2765209600.0,2947465216.0,192380928.0,2736357376.0,82.8,17179869184.0,6307119104.0,3541909504.0,4844.629240351839,9.462166485062186,0.0,0.0,519.0,1210620963.0,1451294720.0,91.6,3934821351424.0,41232646144.0,17179869184.0,15728574464.0,167013.0,2.6350018978118896,1771738191.960468,284775.9604680538
13,4.3,4.2,0.0,4.3,4.2,0.0,0.0,0.0,0.0,0.0,12.5,87.5,3504.0,3504.0,702.0,10.0,90.0,0.0,1.4,8.5,12768.0,635613.986146453,34.484265741452525,0.0,0.0,216181.0,2.05419921875,2.0185546875,1.9375,2765651968.0,2945564672.0,190382080.0,2736340992.0,82.9,17179869184.0,6307561472.0,3541909504.0,0.0,0.0,0.0,0.0,519.0,1210620964.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,167013.0,2.8669917583465576,1771738192.192458,284776.19245791435
14,19.0,0.0,0.0,5.0,5.0,9.1,0.0,0.0,0.0,0.0,5.0,95.0,3504.0,3504.0,702.0,11.5,88.5,0.0,1.2,10.2,12827.0,0.0,0.0,280797.7656677404,39.17379543355753,210139.0,2.05419921875,2.0185546875,1.9375,2814459904.0,2995732480.0,191348736.0,2785542144.0,82.6,17179869184.0,6257377280.0,3442917376.0,0.0,0.0,0.0,0.0,519.0,1210621015.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170010.0,3.0712099075317383,1771738192.396676,284776.39667606354
15,4.8,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,9.1,90.9,3504.0,3504.0,702.0,9.5,90.5,0.0,0.4,9.2,12834.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2814099456.0,2996240384.0,191463424.0,2785935360.0,82.6,17179869184.0,6257016832.0,3442917376.0,0.0,9.156629451908255,0.0,4.578314725954129,519.0,1210621017.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170034.0,3.289630889892578,1771738192.615097,284776.6150970459
16,9.1,4.8,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.8,90.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12874.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2813526016.0,2997108736.0,192102400.0,2786148352.0,82.6,17179869184.0,6256443392.0,3442917376.0,0.0,0.0,0.0,0.0,519.0,1210621025.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170053.0,3.50124192237854,1771738192.826708,284776.8267080784
17,4.8,4.5,0.0,8.7,4.5,8.7,0.0,0.0,0.0,0.0,9.5,86.4,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12887.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2813526016.0,2997108736.0,192102400.0,2786148352.0,82.6,17179869184.0,6256443392.0,3442917376.0,0.0,0.0,0.0,0.0,519.0,1210621031.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170051.0,3.7204198837280273,1771738193.045886,284777.0458869934
18,4.8,4.8,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,95.2,3504.0,3504.0,702.0,9.8,90.2,0.0,0.7,9.2,12906.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2813902848.0,2997813248.0,192626688.0,2786328576.0,82.6,17179869184.0,6256820224.0,3442917376.0,0.0,9.51239254258891,0.0,4.756196271294455,519.0,1210621036.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170064.0,3.930672883987427,1771738193.256139,284777.25613904
19,9.1,4.3,0.0,13.0,9.1,4.5,0.0,0.0,0.0,0.0,4.3,91.3,3504.0,3504.0,702.0,11.4,88.6,0.0,1.1,10.3,12842.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2813870080.0,2996731904.0,191578112.0,2786295808.0,82.6,17179869184.0,6256787456.0,3442917376.0,0.0,0.0,0.0,0.0,519.0,1210621080.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170062.0,4.153197765350342,1771738193.478664,284777.47866392136
20,6.5,0.0,0.0,6.7,6.7,3.2,0.0,0.0,0.0,0.0,13.3,86.7,3504.0,3504.0,702.0,10.2,89.8,0.0,1.1,9.1,12813.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2814164992.0,2996256768.0,191102976.0,2786295808.0,82.6,17179869184.0,6257082368.0,3442917376.0,0.0,0.0,0.0,0.0,519.0,1210621122.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170062.0,4.459833860397339,1771738193.7853,284777.7853000164
21,0.0,0.0,0.0,9.1,4.5,4.8,0.0,0.0,0.0,0.0,9.1,95.2,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12845.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2814164992.0,2996256768.0,191102976.0,2786295808.0,82.6,17179869184.0,6257082368.0,3442917376.0,0.0,0.0,0.0,0.0,519.0,1210621136.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170061.0,4.671355962753296,1771738193.996822,284777.99682211876
22,8.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,92.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12845.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2814164992.0,2996256768.0,191102976.0,2786295808.0,82.6,17179869184.0,6257082368.0,3442917376.0,0.0,0.0,0.0,0.0,519.0,1210621136.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170061.0,4.912958860397339,1771738194.238425,284778.2384250164
23,9.5,0.0,0.0,5.0,9.5,0.0,0.0,0.0,0.0,0.0,5.0,100.0,3504.0,3504.0,702.0,10.0,90.0,0.0,0.9,9.1,12875.0,0.0,0.0,282052.02097698726,39.348775247905586,210139.0,2.05419921875,2.0185546875,1.9375,2814050304.0,2997239808.0,192118784.0,2786263040.0,82.6,17179869184.0,6256967680.0,3442917376.0,0.0,0.0,0.0,0.0,519.0,1210621148.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170060.0,5.116268873214722,1771738194.441735,284778.4417350292
24,5.0,0.0,0.0,18.2,0.0,9.5,4.8,0.0,0.0,0.0,38.1,66.7,3504.0,3504.0,702.0,12.0,88.0,0.0,0.8,11.2,12550.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2816065536.0,2993487872.0,186810368.0,2787835904.0,82.6,17179869184.0,6258982912.0,3442917376.0,4897.786908725995,23.91497514026365,0.0,9.56599005610546,519.0,1210621415.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170150.0,5.325342893600464,1771738194.650809,284778.6508090496
25,9.5,4.8,0.0,0.0,4.8,5.0,10.0,0.0,0.0,0.0,38.1,75.0,3504.0,3504.0,702.0,12.3,87.7,0.0,0.8,11.5,12563.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2815836160.0,2993930240.0,187023360.0,2788065280.0,82.6,17179869184.0,6258753536.0,3442917376.0,0.0,4.9630038077703125,10164.2317983136,9.926007615540623,519.0,1210621422.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170168.0,5.526833772659302,1771738194.8523,284778.85229992867
26,5.3,0.0,0.0,9.5,9.5,4.8,19.0,0.0,0.0,0.0,60.0,52.4,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12541.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2816196608.0,2993569792.0,186662912.0,2788065280.0,82.6,17179869184.0,6259113984.0,3442917376.0,9816.933472912371,23.96712273660247,0.0,9.586849094640987,519.0,1210621471.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170170.0,5.735452890396118,1771738195.060919,284779.0609190464
27,9.1,0.0,0.0,4.8,5.0,0.0,10.0,0.0,0.0,0.0,33.3,80.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12548.0,0.0,0.0,0.0,0.0,210139.0,2.05419921875,2.0185546875,1.9375,2816196608.0,2993569792.0,186662912.0,2788065280.0,82.6,17179869184.0,6259113984.0,3442917376.0,0.0,14.740337238970149,0.0,9.826891492646766,519.0,1210621473.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170170.0,5.938976049423218,1771738195.2644422,284779.2644422054
28,5.0,0.0,0.0,5.0,9.1,4.5,9.5,0.0,0.0,0.0,35.0,72.7,3504.0,3504.0,702.0,12.3,87.7,0.0,1.3,11.0,12594.0,38516.56120267645,9.40345732487218,3524265.3500448954,639.4350980913083,210139.0,2.05419921875,2.0185546875,1.9375,2816245760.0,2994438144.0,187531264.0,2788065280.0,82.6,17179869184.0,6259163136.0,3442917376.0,0.0,4.70172866243609,0.0,4.70172866243609,519.0,1210621499.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,170170.0,6.151663780212402,1771738195.47713,284779.4771299362
29,19.0,8.7,0.0,13.6,10.0,9.5,14.3,0.0,0.0,0.0,23.8,90.0,3504.0,3504.0,702.0,15.5,84.5,0.0,3.6,12.0,12694.0,0.0,0.0,0.0,0.0,216511.0,2.05419921875,2.0185546875,1.9375,2761326592.0,2945630208.0,189169664.0,2737618944.0,82.9,17179869184.0,6308642816.0,3547316224.0,4971.642664079926,14.56535936742166,0.0,0.0,519.0,1210621502.0,1451294720.0,91.6,3934821498880.0,41232646144.0,17179869184.0,15728574464.0,167091.0,6.357630968093872,1771738195.6830971,284779.6830980778
30,18.2,9.5,0.0,9.5,9.5,9.5,9.5,4.5,0.0,0.0,36.4,68.2,3504.0,3504.0,702.0,14.7,85.3,0.0,3.1,11.6,12102.0,6285594.223292608,364.05688670123936,1528928.3245846883,110.5995605168322,146243.0,2.05419921875,2.0185546875,1.9375,3883892736.0,2978185216.0,178208768.0,2779856896.0,82.7,17179869184.0,6279938048.0,2396045312.0,33032.40207436055,82.94967038762415,23594.57291025754,64.51641030148545,519.0,1210621637.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,169663.0,6.574630975723267,1771738195.9000971,284779.90009713173
31,10.0,5.0,0.0,10.0,5.0,5.0,14.3,0.0,0.0,0.0,40.0,70.0,3504.0,3504.0,702.0,13.2,86.8,0.0,1.2,11.9,12035.0,5325221.901055648,363.0476310787496,11213108.757694537,515.1351522063339,146243.0,2.05419921875,2.0185546875,1.9375,3879780352.0,2982166528.0,177094656.0,2784952320.0,82.6,17179869184.0,6275825664.0,2396045312.0,0.0,0.0,0.0,0.0,519.0,1210621727.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,169974.0,6.778459787368774,1771738196.103926,284780.10392713547
32,5.0,0.0,0.0,0.0,9.5,4.8,10.0,0.0,0.0,0.0,28.6,80.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12055.0,0.0,0.0,277545.8361183906,38.72012222633798,146243.0,2.05419921875,2.0185546875,1.9375,3879780352.0,2982166528.0,177094656.0,2784952320.0,82.6,17179869184.0,6275825664.0,2396045312.0,0.0,0.0,0.0,0.0,519.0,1210621740.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,170004.0,6.985070705413818,1771738196.3105369,284780.3105380535
33,9.1,5.0,0.0,8.7,4.8,0.0,13.6,0.0,0.0,0.0,28.6,72.7,3504.0,3504.0,702.0,11.8,88.2,0.0,1.2,10.6,12141.0,0.0,0.0,0.0,0.0,146234.0,2.1298828125,2.02392578125,1.955078125,3877502976.0,2985656320.0,178831360.0,2786705408.0,82.6,17179869184.0,6273400832.0,2395897856.0,4793.9183141351905,9.363121707295294,0.0,4.681560853647647,519.0,1210621769.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,170081.0,7.198675870895386,1771738196.524142,284780.5241420269
34,0.0,4.8,0.0,5.0,4.8,4.8,10.0,0.0,0.0,0.0,35.0,75.0,3504.0,3504.0,702.0,11.4,88.6,0.0,0.8,10.6,12148.0,0.0,0.0,0.0,0.0,146234.0,2.1298828125,2.02392578125,1.955078125,3877224448.0,2986065920.0,178929664.0,2787000320.0,82.6,17179869184.0,6273122304.0,2395897856.0,0.0,4.822114356534676,9875.690202183016,9.644228713069351,519.0,1210621770.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,170099.0,7.406053781509399,1771738196.73152,284780.7315199375
35,8.7,0.0,0.0,4.8,4.8,0.0,22.7,69.6,0.0,0.0,26.1,13.0,3504.0,3504.0,702.0,13.0,87.0,0.0,2.3,10.7,11842.0,0.0,0.0,0.0,0.0,146234.0,2.1298828125,2.02392578125,1.955078125,3881156608.0,2981429248.0,173916160.0,2787377152.0,82.6,17179869184.0,6277054464.0,2395897856.0,0.0,0.0,0.0,0.0,519.0,1210622040.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,170122.0,7.620172739028931,1771738196.945639,284780.9456398487
36,5.3,0.0,0.0,4.8,0.0,4.8,33.3,78.9,0.0,4.8,10.0,0.0,3504.0,3504.0,702.0,11.6,88.4,0.0,0.8,10.7,11573.0,0.0,0.0,0.0,0.0,154612.0,2.1298828125,2.02392578125,1.955078125,3615703040.0,3108651008.0,169508864.0,2919006208.0,81.9,17179869184.0,6148866048.0,2533163008.0,0.0,4.908069878173076,0.0,0.0,519.0,1210622087.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,178156.0,7.823919773101807,1771738197.149386,284781.1493859291
37,4.8,0.0,0.0,5.0,9.1,4.8,19.0,90.9,0.0,0.0,10.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,11952.0,0.0,0.0,275272.7266834145,38.40300316453885,153009.0,2.1298828125,2.02392578125,1.955078125,3612590080.0,3137552384.0,175702016.0,2941698048.0,81.7,17179869184.0,6119489536.0,2506899456.0,0.0,0.0,0.0,0.0,518.0,1210622111.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,179541.0,8.032236814498901,1771738197.357703,284781.3577029705
38,13.6,0.0,0.0,9.1,0.0,9.1,15.0,95.0,0.0,0.0,13.6,0.0,3504.0,3504.0,702.0,12.5,87.5,0.0,1.6,10.9,11818.0,0.0,0.0,0.0,0.0,153172.0,2.1298828125,2.02392578125,1.955078125,3611475968.0,3136045056.0,173506560.0,2942386176.0,81.7,17179869184.0,6121046016.0,2509570048.0,0.0,0.0,0.0,0.0,518.0,1210622149.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,179583.0,8.243093967437744,1771738197.56856,284781.56856012344
39,0.0,0.0,0.0,5.0,9.5,0.0,28.6,86.4,0.0,0.0,10.0,0.0,3504.0,3504.0,702.0,12.2,87.8,0.0,1.6,10.6,11833.0,0.0,0.0,0.0,0.0,153172.0,2.1298828125,2.02392578125,1.955078125,3610968064.0,3136880640.0,173752320.0,2942976000.0,81.7,17179869184.0,6120538112.0,2509570048.0,0.0,9.74355674443834,4988.70105315243,14.61533511665751,518.0,1210622157.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,179619.0,8.448357820510864,1771738197.773824,284781.7738239765
40,9.5,0.0,0.0,5.3,0.0,5.0,15.8,85.0,4.8,0.0,20.0,0.0,3504.0,3504.0,702.0,12.1,87.9,0.0,0.8,11.3,11842.0,0.0,0.0,0.0,0.0,153172.0,2.1298828125,2.02392578125,1.955078125,3610968064.0,3136880640.0,173752320.0,2942976000.0,81.7,17179869184.0,6120538112.0,2509570048.0,10169.971942976686,14.897419838344756,0.0,9.93161322556317,518.0,1210622162.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,179658.0,8.64973497390747,1771738197.9752011,284781.9752011299
41,30.0,0.0,0.0,22.7,10.0,4.8,28.6,84.2,4.8,0.0,9.5,0.0,3504.0,3504.0,702.0,15.9,84.1,0.0,2.4,13.4,11345.0,80133.9113342771,19.563943196844995,0.0,0.0,153189.0,2.1298828125,2.02392578125,1.955078125,3610968064.0,3136880640.0,173752320.0,2942976000.0,81.7,17179869184.0,6120538112.0,2509570048.0,0.0,0.0,0.0,0.0,519.0,1210622602.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,179807.0,8.854192733764648,1771738198.179659,284782.17965888977
42,15.0,0.0,0.0,5.3,10.0,0.0,19.0,90.5,0.0,0.0,15.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,11337.0,0.0,0.0,0.0,0.0,147851.0,2.1298828125,2.02392578125,1.955078125,3610968064.0,3136880640.0,173752320.0,2942976000.0,81.7,17179869184.0,6120538112.0,2509570048.0,0.0,4.983554511548437,0.0,0.0,519.0,1210622639.0,1459683328.0,91.5,3934821498880.0,41232646144.0,17179869184.0,15720185856.0,188644.0,9.054851770401,1771738198.380318,284782.3803188801
43,0.0,0.0,0.0,4.8,0.0,4.8,20.0,85.0,5.0,0.0,10.0,0.0,3504.0,3504.0,702.0,11.9,88.1,0.0,1.0,10.9,11351.0,0.0,0.0,0.0,0.0,147128.0,2.1298828125,2.02392578125,1.955078125,3568304128.0,3277389824.0,165855232.0,3091382272.0,80.9,17179869184.0,5978849280.0,2410545152.0,4952.312495027471,38.68994136740212,9904.624990054945,29.017456025551592,519.0,1210622644.0,1459683328.0,91.5,3934821597184.0,41232646144.0,17179869184.0,15720185856.0,188677.0,9.261624813079834,1771738198.587091,284782.5870909691
44,18.2,0.0,0.0,14.3,13.6,9.5,14.3,90.5,4.8,0.0,13.6,4.8,3504.0,3504.0,702.0,15.2,84.8,0.0,2.3,12.9,11429.0,95831.19515463078,23.39628787954853,76664.95612370463,18.717030303638825,147128.0,2.1298828125,2.02392578125,1.955078125,3566714880.0,3280650240.0,167100416.0,3093364736.0,80.9,17179869184.0,5977260032.0,2410545152.0,4791.559757731539,37.43406060727765,9583.11951546308,32.75480303136794,519.0,1210622705.0,1459683328.0,91.5,3934821597184.0,41232646144.0,17179869184.0,15720185856.0,188798.0,9.475332736968994,1771738198.800799,284782.80080008507
45,9.5,0.0,0.0,9.5,9.5,0.0,15.0,95.0,0.0,0.0,10.0,0.0,3504.0,3504.0,702.0,12.2,87.8,0.0,1.2,11.0,11441.0,0.0,0.0,0.0,0.0,147128.0,2.1298828125,2.02392578125,1.955078125,3566714880.0,3280650240.0,167100416.0,3093364736.0,80.9,17179869184.0,5977260032.0,2410545152.0,9947.21173942044,19.428147928555543,0.0,9.714073964277771,519.0,1210622708.0,1459683328.0,91.5,3934821597184.0,41232646144.0,17179869184.0,15720185856.0,188857.0,9.681219816207886,1771738199.006686,284783.0066869259
